address_name,id,name,type,full_name,purpose_name,address_comment,building_name,is_deleted
"Мичуринский проспект, 56 ст1",4504128908692489,"Медси, сеть медицинских центров",branch,,,,,
"улица Сущёвский Вал, 12",4504127921625912,"Будь Здоров, сеть современных многопрофильных клиник",branch,"Москва, улица Сущёвский Вал, 12",Медицинское учреждение,,,
"улица Вучетича, 9а ст1",4504127908577975,"Центр стоматологии и челюстно-лицевой хирургии, взрослая регистратура",branch,"Москва, Центр стоматологии и челюстно-лицевой хирургии, МГМСУ им. А.И. Евдокимова",Медицинское учреждение,1 этаж,"Центр стоматологии и челюстно-лицевой хирургии, МГМСУ им. А.И. Евдокимова",
"Ольховская улица, 27",4504127908842486,Институт пластической хирургии и косметологии,branch,"Москва, Ольховская улица, 27",Медицинское учреждение,1 этаж,,
"улица Лобачевского, 42 ст4",4504128908664043,"К+31 на Лобачевского, сеть медицинских центров",branch,"Москва, улица Лобачевского, 42 ст4",Медицинское учреждение,,,
"улица Ленивка, 4",4504127918231329,"Medswiss, медицинский центр",branch,"Москва, Лебяжий переулок, 8/4 ст2 / улица Ленивка, 4",Медицинское учреждение,,,
"Ярцевская улица, 8",4504127908647293,"СМ-Клиника, сеть клиник для взрослых",branch,,,"1, 2 этаж",,
"Бакунинская улица, 1-3",70000001050180836,"Семейный доктор, госпитальный центр",branch,"Москва, Бакунинская улица, 1-3",Медицинское учреждение,1-10 этаж,,
"Петроверигский переулок, 10",4504127908496708,Национальный медицинский исследовательский центр профилактической медицины,branch,"Москва, Национальный медицинский исследовательский центр профилактической медицины НМИЦ ПМ",Научное учреждение,1-5 этаж,Национальный медицинский исследовательский центр профилактической медицины НМИЦ ПМ,
"Ленинский проспект, 107 к1",70000001080854843,"Клиника Фомина, многофункциональный медицинский центр",branch,,,1 этаж,,
"Комсомольский проспект, 11Б",4504127915730740,"Институт Здоровья, медико-диагностический комплекс",branch,,,1-3 этаж,,
"2-я Кабельная улица, 2 ст25",4504127908646783,Скандинавский центр,branch,"Москва, 2-я Кабельная улица, 2 ст25",Медицинское учреждение,1 этаж,,
"шоссе 1-е Успенское, 111",70000001047167480,"Лапино-2, клинический госпиталь",branch,"Лапино, Лапино-2, клинический госпиталь",Медицинское учреждение,40 подъезд,"Лапино-2, клинический госпиталь",
"Волочаевская улица, 15 к1",70000001020481477,"Медскан На Яузе, медицинский центр",branch,"Москва, Волочаевская улица, 15 к1",Медицинское учреждение,,,
"Мурановская улица, 5",70000001057597369,"Uniклиник, медицинский центр",branch,"Москва, Мурановская улица, 5",Медицинское учреждение,2 этаж,,
"Комсомольский проспект, 24 ст1",70000001031082199,"Поликлиника.ру, медицинский центр",branch,,,1 этаж,,
"Воронцовская улица, 13/14 ст9",70000001056478865,"Он клиник, международный многопрофильный медицинский центр",branch,,,2 этаж,,
"Октябрьский проспект, 133",4504127908854989,"100med, медицинский центр",branch,,,1 этаж,,
"улица Фадеева, 4а ст1",70000001041279128,"Гута клиник, медицинский центр",branch,,,1 этаж,,
"Часовая улица, 20",70000001030115189,"Отделение №2, Консультативно-диагностический центр",branch,"Москва, Научный клинический центр РЖД",Медицинское учреждение,,Научный клинический центр РЖД,
"Садовая-Сухаревская улица, 7/1",70000001049064764,"Олимп Клиник, многопрофильный медицинский центр",branch,,,,,
"Нижняя Первомайская улица, 65",70000001007110546,"Медико-хирургический центр им. Н.И. Пирогова, офтальмологическое отделение",branch,"Москва, Национальный медико-хирургический Центр им. Н.И. Пирогова",Медицинское учреждение,,Национальный медико-хирургический Центр им. Н.И. Пирогова,
"Песчаная улица, 7",4504127908681958,"Аэрофлот, медицинский центр",branch,"Москва, Песчаная улица, 7",Медицинское учреждение,,,
